object_id,slope,profile_curvature,planar_curvature,lithology,twi,rainfall,ndvi,distance_to_river,distance_to_fault,slope_unit,slope_structure,hazard_label,rainfall_slope_interaction,saturation_potential,fault_vulnerability,stream_power_index_approx,disturbance_index,hydro_stress
34247,2,7,4,1,2,1.0,6,5,5,0,0,0,2,2,0.1666666666666666,4,2,0.4761904761904761
3411371,2,6,6,3,3,6.0,8,2,1,20,4,0,12,18,1.5,6,9,1.935483870967741
2052382,8,4,6,3,4,5.0,9,1,2,58,4,0,40,20,1.0,32,9,1.2195121951219514
2601601,7,6,5,3,5,5.0,8,2,2,48,4,0,35,25,1.0,35,8,0.9803921568627452
2098943,5,5,7,3,8,4.0,7,1,3,58,4,0,20,32,0.75,40,8,0.4938271604938272
1353126,6,6,6,2,5,3.0,8,5,2,85,4,0,18,15,0.6666666666666666,30,5,0.5882352941176471
705634,6,4,7,2,6,3.0,8,5,2,94,4,0,18,18,0.6666666666666666,36,5,0.4918032786885246
136545,2,5,6,1,7,2.0,9,1,5,107,4,0,4,14,0.1666666666666666,14,6,0.2816901408450704
3329181,2,5,6,3,4,7.0,4,2,2,23,4,0,14,28,1.0,8,8,1.707317073170732
508151,4,6,6,2,4,3.0,5,3,3,105,4,0,12,12,0.5,16,6,0.7317073170731708
1582202,6,6,4,2,4,2.0,9,4,2,81,4,0,12,8,0.6666666666666666,24,6,0.4878048780487805
123316,3,5,6,1,2,3.0,5,3,5,107,4,0,9,6,0.1666666666666666,6,4,1.4285714285714286
2512900,3,5,6,3,6,3.0,8,3,3,11,4,0,9,18,0.75,18,6,0.4918032786885246
2828277,1,5,6,3,4,7.0,8,5,2,31,4,0,7,28,1.0,4,5,1.707317073170732
3510294,4,5,5,3,6,7.0,9,1,2,119,1,0,28,42,1.0,24,9,1.1475409836065575
1794837,4,6,5,3,3,2.0,7,1,2,75,1,0,8,6,1.0,12,9,0.6451612903225806
1158582,5,6,5,4,5,3.0,5,2,2,90,1,0,15,15,1.3333333333333333,25,8,0.5882352941176471
2069254,8,6,4,3,3,5.0,9,1,3,71,4,0,40,15,0.75,24,8,1.6129032258064515
2987924,2,5,6,3,4,4.0,9,1,1,13,1,0,8,16,1.5,8,10,0.9756097560975612
2683250,5,6,6,3,5,6.0,9,1,2,45,5,0,30,30,1.0,25,9,1.1764705882352942
2941707,7,5,6,3,2,4.0,6,1,3,28,4,0,28,8,0.75,14,8,1.9047619047619049
2086969,7,5,6,3,6,6.0,8,1,2,59,4,0,42,36,1.0,42,9,0.9836065573770492
3144160,5,6,6,3,3,4.0,8,2,1,41,4,0,20,12,1.5,15,9,1.2903225806451613
3608544,3,5,4,3,8,7.0,8,1,3,25,4,0,21,56,0.75,24,8,0.8641975308641976
754562,3,5,4,2,8,2.0,6,3,1,100,1,0,6,16,1.0,24,8,0.2469135802469136
719187,3,7,4,2,2,2.0,7,4,1,100,1,0,6,4,1.0,6,7,0.9523809523809524
1298058,7,5,6,2,6,1.0,8,2,3,2,5,0,7,6,0.5,42,7,0.1639344262295082
2776859,6,6,6,3,2,3.0,7,2,1,29,4,0,18,6,1.5,12,9,1.4285714285714286
2826514,2,5,6,3,6,7.0,7,3,1,29,4,0,14,42,1.5,12,8,1.1475409836065575
2297533,3,5,4,3,5,8.0,8,1,4,70,4,0,24,40,0.6,15,7,1.5686274509803924
683087,4,6,5,2,4,1.0,7,4,1,96,4,0,4,4,1.0,16,7,0.2439024390243902
1401872,3,5,6,2,6,3.0,8,4,2,85,1,0,9,18,0.6666666666666666,18,6,0.4918032786885246
3406011,3,6,6,3,5,5.0,9,2,2,20,4,0,15,25,1.0,15,8,0.9803921568627452
1525366,5,6,4,2,3,4.0,8,3,1,81,4,0,20,12,1.0,15,8,1.2903225806451613
405971,3,5,6,2,2,1.0,8,1,5,97,4,0,3,2,0.3333333333333333,6,6,0.4761904761904761
2018287,6,8,4,3,3,6.0,7,2,3,58,4,0,36,18,0.75,18,7,1.935483870967741
2757434,8,4,6,3,8,5.0,9,4,2,30,5,0,40,40,1.0,64,6,0.617283950617284
2829286,1,4,6,3,6,3.0,9,1,1,34,1,0,3,18,1.5,6,10,0.4918032786885246
2102510,7,6,4,3,3,5.0,7,1,2,58,4,0,35,15,1.0,21,9,1.6129032258064515
2113838,6,7,5,3,6,4.0,7,4,2,58,4,0,24,24,1.0,36,6,0.6557377049180328
1015227,6,4,6,4,4,1.0,7,2,1,113,4,0,6,4,2.0,24,9,0.2439024390243902
1956360,8,7,5,3,7,6.0,9,2,4,72,4,0,48,42,0.6,56,6,0.8450704225352114
590769,4,6,5,2,3,3.0,2,2,3,94,4,0,12,9,0.5,12,7,0.9677419354838708
317436,7,5,6,2,2,1.0,8,4,5,107,4,0,7,2,0.3333333333333333,14,3,0.4761904761904761
2198303,3,4,7,3,6,3.0,9,3,3,58,4,0,9,18,0.75,18,6,0.4918032786885246
3474836,2,5,6,3,5,8.0,9,5,2,20,4,0,16,40,1.0,10,5,1.5686274509803924
1737505,7,7,4,3,2,2.0,8,4,1,75,4,0,14,4,1.5,14,7,0.9523809523809524
2278350,5,4,7,3,4,4.0,7,5,1,51,4,0,20,16,1.5,20,6,0.9756097560975612
607194,3,6,6,2,1,1.0,8,1,2,0,0,0,3,1,0.6666666666666666,3,9,0.9090909090909092
3444434,2,6,5,3,2,6.0,9,1,1,23,4,0,12,12,1.5,4,10,2.857142857142857
2347943,6,6,6,3,7,8.0,7,2,3,62,4,0,48,56,0.75,42,7,1.1267605633802815
1723858,4,5,6,3,1,3.0,6,1,3,78,1,0,12,3,0.75,4,8,2.727272727272727
1335788,5,7,5,2,5,2.0,9,5,2,2,5,0,10,10,0.6666666666666666,25,5,0.3921568627450981
910854,7,5,6,4,3,3.0,7,3,2,91,1,0,21,9,1.3333333333333333,21,7,0.9677419354838708
3463045,7,6,5,3,2,8.0,9,5,2,20,4,0,56,16,1.0,14,5,3.809523809523809
2855097,6,4,7,3,5,6.0,9,4,1,29,4,0,36,30,1.5,30,7,1.1764705882352942
70778,2,6,5,1,5,1.0,8,1,5,107,1,0,2,5,0.1666666666666666,10,6,0.196078431372549
1609827,4,6,6,2,2,4.0,7,5,1,84,5,0,16,8,1.0,8,6,1.9047619047619049
493422,3,6,5,2,3,3.0,8,5,3,105,4,0,9,9,0.5,9,4,0.9677419354838708
2785937,6,6,6,3,4,4.0,7,5,1,29,4,0,24,16,1.5,24,6,0.9756097560975612
912936,6,7,4,1,5,3.0,8,2,1,93,4,0,18,15,0.5,30,9,0.5882352941176471
924630,7,4,6,4,3,2.0,8,2,2,91,1,0,14,6,1.3333333333333333,21,8,0.6451612903225806
1464497,7,6,5,2,6,4.0,6,2,2,1,4,0,28,24,0.6666666666666666,42,8,0.6557377049180328
1258267,1,7,6,2,4,1.0,9,5,1,85,1,0,1,4,1.0,4,6,0.2439024390243902
1041763,2,7,7,6,4,2.0,2,2,1,113,5,0,4,8,3.0,8,9,0.4878048780487805
184222,1,6,5,2,6,3.0,5,3,5,107,4,0,3,18,0.3333333333333333,6,4,0.4918032786885246
3564605,3,5,6,3,4,6.0,4,1,2,43,4,0,18,24,1.0,12,9,1.4634146341463417
415473,2,6,6,2,8,2.0,8,4,4,107,4,0,4,16,0.4,16,4,0.2469135802469136
1783612,4,6,5,3,5,1.0,7,1,2,8,1,0,4,5,1.0,20,9,0.196078431372549
2411246,7,5,5,3,4,8.0,8,1,3,0,0,0,56,32,0.75,28,8,1.951219512195122
3237660,2,5,6,3,1,6.0,8,3,3,21,4,0,12,6,0.75,2,6,5.454545454545454
1290074,6,6,4,4,2,1.0,8,3,3,2,5,0,6,2,1.0,12,6,0.4761904761904761
2757541,2,5,6,3,4,6.0,7,4,1,47,1,0,12,24,1.5,8,7,1.4634146341463417
793524,4,5,6,1,2,1.0,7,3,1,102,4,0,4,2,0.5,8,8,0.4761904761904761
3321808,3,6,4,3,1,7.0,8,2,2,118,3,0,21,7,1.0,3,8,6.363636363636363
626730,4,5,5,2,2,1.0,8,3,2,96,4,0,4,2,0.6666666666666666,8,7,0.4761904761904761
2504945,5,5,6,3,5,5.0,8,3,2,12,4,0,25,25,1.0,25,7,0.9803921568627452
1442466,3,4,6,2,7,2.0,6,4,2,1,4,0,6,14,0.6666666666666666,21,6,0.2816901408450704
2917615,5,6,6,3,4,3.0,9,1,1,19,4,0,15,12,1.5,20,10,0.7317073170731708
760005,1,6,6,4,6,1.0,8,3,2,99,4,0,1,6,1.3333333333333333,6,7,0.1639344262295082
2586107,5,5,5,3,1,5.0,9,2,1,48,4,0,25,5,1.5,5,9,4.545454545454545
2099180,8,7,4,3,1,6.0,8,4,2,115,4,0,48,6,1.0,8,6,5.454545454545454
2741940,5,5,5,3,3,7.0,8,3,2,47,1,0,35,21,1.0,15,7,2.258064516129032
888416,6,6,6,4,3,3.0,8,2,1,92,4,0,18,9,2.0,18,9,0.9677419354838708
405116,5,6,5,2,3,1.0,7,5,5,97,4,0,5,3,0.3333333333333333,15,2,0.3225806451612903
71324,6,7,4,1,7,2.0,9,1,5,107,1,0,12,14,0.1666666666666666,42,6,0.2816901408450704
2173701,6,6,6,3,6,4.0,9,4,1,58,4,0,24,24,1.5,36,7,0.6557377049180328
1996898,8,5,5,3,6,6.0,9,3,3,72,4,0,48,36,0.75,48,6,0.9836065573770492
1994047,7,7,4,3,4,6.0,9,2,1,71,4,0,42,24,1.5,28,9,1.4634146341463417
2751054,8,7,4,3,6,5.0,9,4,2,47,1,0,40,30,1.0,48,6,0.819672131147541
3593494,2,6,5,3,3,7.0,7,1,2,43,4,0,14,21,1.0,6,9,2.258064516129032
1639525,6,6,5,2,2,2.0,4,5,1,109,1,0,12,4,1.0,12,6,0.9523809523809524
3082018,3,5,6,3,5,4.0,9,1,1,23,4,0,12,20,1.5,15,10,0.7843137254901962
229465,5,6,5,2,5,2.0,8,3,5,107,4,0,10,10,0.3333333333333333,25,4,0.3921568627450981
896484,4,6,7,6,5,2.0,7,2,1,91,1,0,8,10,3.0,20,9,0.3921568627450981
2721976,6,5,5,3,6,4.0,7,3,1,45,5,0,24,24,1.5,36,8,0.6557377049180328
1643817,4,5,4,3,5,2.0,9,2,2,81,4,0,8,10,1.0,20,8,0.3921568627450981
2803866,3,5,5,3,5,4.0,7,1,1,29,4,0,12,20,1.5,15,10,0.7843137254901962
1322139,6,6,6,2,3,1.0,9,2,3,86,5,0,6,3,0.5,18,7,0.3225806451612903
3219730,2,3,7,3,2,6.0,9,1,3,41,4,0,12,12,0.75,4,8,2.857142857142857
1833689,6,6,5,3,1,2.0,7,4,3,73,1,0,12,2,0.75,6,5,1.818181818181818
1718510,6,5,6,3,1,2.0,2,1,3,108,1,0,12,2,0.75,6,8,1.818181818181818
2472732,5,5,6,3,8,7.0,5,2,3,10,5,0,35,56,0.75,40,7,0.8641975308641976
850862,8,5,6,1,5,1.0,8,1,1,98,4,0,8,5,0.5,40,10,0.196078431372549
1314552,6,5,6,2,4,1.0,8,5,2,87,1,0,6,4,0.6666666666666666,24,5,0.2439024390243902
441789,8,5,6,2,5,3.0,5,5,4,105,4,0,24,15,0.4,40,3,0.5882352941176471
3610078,9,3,8,3,4,6.0,8,1,4,120,5,0,54,24,0.6,36,7,1.4634146341463417
3488134,2,6,5,3,5,8.0,8,4,2,20,4,0,16,40,1.0,10,6,1.5686274509803924
2726980,6,6,6,3,3,6.0,8,3,3,31,4,0,36,18,0.75,18,6,1.935483870967741
1880049,3,6,5,3,1,3.0,8,1,3,72,1,0,9,3,0.75,3,8,2.727272727272727
764146,3,6,5,4,1,2.0,7,2,2,94,4,0,6,2,1.3333333333333333,3,8,1.818181818181818
1866232,6,6,6,3,6,2.0,8,2,3,112,4,0,12,12,0.75,36,7,0.3278688524590164
1827751,5,4,5,3,4,2.0,7,2,2,74,5,0,10,8,1.0,20,8,0.4878048780487805
1473055,5,6,5,2,3,4.0,8,5,2,79,4,0,20,12,0.6666666666666666,15,5,1.2903225806451613
1114829,5,4,6,2,6,4.0,2,4,2,88,4,0,20,24,0.6666666666666666,30,6,0.6557377049180328
920104,7,7,4,1,5,2.0,8,2,1,93,4,0,14,10,0.5,35,9,0.3921568627450981
3462658,7,4,7,3,3,8.0,8,2,3,20,4,0,56,24,0.75,21,7,2.5806451612903225
2953779,1,5,7,3,3,3.0,9,1,2,23,4,0,3,9,1.0,3,9,0.9677419354838708
1501005,5,8,2,2,4,3.0,8,1,1,5,4,0,15,12,1.0,20,10,0.7317073170731708
2997818,6,6,6,3,3,5.0,8,2,1,28,4,0,30,15,1.5,18,9,1.6129032258064515
3089639,2,5,6,3,2,4.0,8,1,1,117,0,0,8,8,1.5,4,10,1.9047619047619049
3402544,1,6,5,3,1,7.0,9,1,1,26,4,0,7,7,1.5,1,10,6.363636363636363
1098134,1,6,4,6,5,1.0,9,2,2,86,4,0,1,5,2.0,5,8,0.196078431372549
559333,1,5,6,2,3,2.0,7,2,2,94,4,0,2,6,0.6666666666666666,3,8,0.6451612903225806
1558079,6,6,5,2,3,3.0,5,4,2,4,4,0,18,9,0.6666666666666666,18,6,0.9677419354838708
3294620,2,6,5,3,3,7.0,5,1,1,118,3,0,14,21,1.5,6,10,2.258064516129032
745270,5,5,5,2,3,1.0,7,3,1,100,1,0,5,3,1.0,15,8,0.3225806451612903
1065535,2,6,5,6,8,1.0,2,4,1,90,1,0,2,8,3.0,16,7,0.1234567901234568
3096014,3,5,6,3,1,6.0,7,2,2,117,0,0,18,6,1.0,3,8,5.454545454545454
3331597,2,6,6,3,1,6.0,9,1,2,20,4,0,12,6,1.0,2,9,5.454545454545454
2405127,4,6,6,3,5,5.0,9,1,2,0,0,0,20,25,1.0,20,9,0.9803921568627452
2007452,8,5,6,3,4,6.0,9,1,3,71,4,0,48,24,0.75,32,8,1.4634146341463417
575155,6,7,5,2,4,3.0,9,3,3,94,4,0,18,12,0.5,24,6,0.7317073170731708
414336,2,6,6,2,4,1.0,7,5,4,105,4,0,2,4,0.4,8,3,0.2439024390243902
2886655,7,4,4,3,1,3.0,7,1,1,28,4,0,21,3,1.5,7,10,2.727272727272727
1774426,2,4,5,3,1,3.0,9,3,2,111,4,0,6,3,1.0,2,7,2.727272727272727
1531472,5,5,7,2,5,4.0,9,5,2,3,4,0,20,20,0.6666666666666666,25,5,0.7843137254901962
3282260,4,6,6,3,4,6.0,5,4,2,38,4,0,24,24,1.0,16,6,1.4634146341463417
109917,0,6,6,4,2,1.0,8,2,5,107,4,0,0,2,0.6666666666666666,0,5,0.4761904761904761
1302692,7,5,5,2,2,1.0,7,5,1,86,4,0,7,2,1.0,14,6,0.4761904761904761
1592596,6,6,3,2,1,1.0,7,5,1,4,4,0,6,1,1.0,6,6,0.9090909090909092
1737447,5,7,6,3,6,2.0,7,4,1,75,4,0,10,12,1.5,30,7,0.3278688524590164
640046,3,6,5,2,1,1.0,5,3,2,96,4,0,3,1,0.6666666666666666,3,7,0.9090909090909092
720527,3,6,5,4,4,2.0,4,2,2,94,4,0,6,8,1.3333333333333333,12,8,0.4878048780487805
904624,4,6,5,1,2,3.0,9,2,1,93,4,0,12,6,0.5,8,9,1.4285714285714286
744436,2,7,5,4,1,1.0,8,1,2,94,4,0,2,1,1.3333333333333333,2,9,0.9090909090909092
1418347,2,5,6,2,5,4.0,5,4,3,1,4,0,8,20,0.5,10,5,0.7843137254901962
191880,4,7,5,2,2,2.0,8,5,5,107,4,0,8,4,0.3333333333333333,8,2,0.9523809523809524
3560212,4,6,3,3,3,8.0,9,2,4,43,4,0,32,24,0.6,12,6,2.5806451612903225
2961787,7,7,5,3,3,3.0,8,1,3,34,1,0,21,9,0.75,21,8,0.9677419354838708
838285,5,6,6,4,5,1.0,8,1,2,91,1,0,5,5,1.3333333333333333,25,9,0.196078431372549
388611,5,8,5,2,1,1.0,5,4,4,107,4,0,5,1,0.4,5,4,0.9090909090909092
1873832,4,6,5,3,7,2.0,8,3,3,110,4,0,8,14,0.75,28,6,0.2816901408450704
377949,3,6,5,2,5,1.0,8,4,4,107,4,0,3,5,0.4,15,4,0.196078431372549
889794,7,5,6,1,4,3.0,9,1,1,93,4,0,21,12,0.5,28,10,0.7317073170731708
274796,4,6,5,2,6,2.0,8,3,5,107,4,0,8,12,0.3333333333333333,24,4,0.3278688524590164
2468783,5,6,5,3,5,5.0,7,2,3,10,5,0,25,25,0.75,25,7,0.9803921568627452
1147361,7,4,7,2,3,3.0,5,3,3,90,1,0,21,9,0.5,21,6,0.9677419354838708
1070047,3,6,5,1,4,2.0,8,1,1,113,4,0,6,8,0.5,12,10,0.4878048780487805
2074067,7,5,5,3,4,5.0,6,1,3,71,4,0,35,20,0.75,28,8,1.2195121951219514
1467498,5,5,5,2,2,4.0,6,2,1,1,4,0,20,8,1.0,10,9,1.9047619047619049
3110030,2,5,6,3,2,4.0,9,1,2,35,4,0,8,8,1.0,4,9,1.9047619047619049
2680754,3,4,6,3,3,4.0,9,4,3,32,5,0,12,12,0.75,9,5,1.2903225806451613
41722,3,6,4,1,4,1.0,8,4,5,107,1,0,3,4,0.1666666666666666,12,3,0.2439024390243902
1011653,4,7,4,5,5,4.0,8,5,1,90,1,0,16,20,2.5,20,6,0.7843137254901962
2456495,4,7,5,3,7,8.0,9,3,4,10,5,0,32,56,0.6,28,5,1.1267605633802815
2394489,7,7,4,3,5,8.0,9,0,3,61,4,0,56,40,0.75,35,9,1.5686274509803924
1611217,6,6,5,2,4,4.0,7,5,1,84,5,0,24,16,1.0,24,6,0.9756097560975612
589034,3,6,6,2,6,2.0,9,4,2,96,4,0,6,12,0.6666666666666666,18,6,0.3278688524590164
1931882,6,7,6,3,5,7.0,7,4,2,72,4,0,42,35,1.0,30,6,1.3725490196078431
2287689,7,6,5,3,3,5.0,9,4,2,65,4,0,35,15,1.0,21,6,1.6129032258064515
2063898,8,5,5,3,5,6.0,8,3,1,59,4,0,48,30,1.5,40,8,1.1764705882352942
801764,4,5,5,4,5,1.0,5,3,1,98,4,0,4,5,2.0,20,8,0.196078431372549
404975,6,6,5,2,2,2.0,7,5,4,107,4,0,12,4,0.4,12,3,0.9523809523809524
2105620,7,5,4,3,7,5.0,8,1,2,115,4,0,35,35,1.0,49,9,0.7042253521126761
374736,5,5,7,2,3,1.0,7,3,5,107,4,0,5,3,0.3333333333333333,15,4,0.3225806451612903
3108247,2,6,5,3,2,4.0,7,1,1,13,3,0,8,8,1.5,4,10,1.9047619047619049
616730,4,6,5,2,1,1.0,7,2,2,96,4,0,4,1,0.6666666666666666,4,8,0.9090909090909092
3358775,1,6,6,3,3,6.0,8,1,1,23,4,0,6,18,1.5,3,10,1.935483870967741
2197292,5,5,6,3,4,3.0,6,4,2,66,4,0,15,12,1.0,20,6,0.7317073170731708
1283436,4,6,6,2,3,1.0,8,2,3,2,5,0,4,3,0.5,12,7,0.3225806451612903
1657651,1,6,5,3,3,3.0,8,3,1,75,1,0,3,9,1.5,3,8,0.9677419354838708
985218,6,7,4,6,5,2.0,9,2,1,113,4,0,12,10,3.0,30,9,0.3921568627450981
1639607,3,5,7,2,2,2.0,5,3,1,80,1,0,6,4,1.0,6,8,0.9523809523809524
1516986,6,5,7,2,2,3.0,8,3,1,5,4,0,18,6,1.0,12,8,1.4285714285714286
1458671,6,7,4,2,2,2.0,8,2,2,1,4,0,12,4,0.6666666666666666,12,8,0.9523809523809524
3410597,6,5,6,3,2,6.0,6,2,3,23,4,0,36,12,0.75,12,7,2.857142857142857
2842542,5,5,6,3,2,3.0,8,4,2,19,4,0,15,6,1.0,10,6,1.4285714285714286
818700,3,4,6,4,4,2.0,8,1,2,98,4,0,6,8,1.3333333333333333,12,9,0.4878048780487805
1028156,2,6,5,6,4,2.0,2,4,1,90,1,0,4,8,3.0,8,7,0.4878048780487805
500533,5,6,4,2,5,1.0,7,5,3,105,4,0,5,5,0.5,25,4,0.196078431372549
1564788,2,5,7,2,4,3.0,8,4,1,80,1,0,6,12,1.0,8,7,0.7317073170731708
1595105,5,6,3,2,2,3.0,7,5,1,81,4,0,15,6,1.0,10,6,1.4285714285714286
1394860,2,7,6,2,2,2.0,7,5,2,1,4,0,4,4,0.6666666666666666,4,5,0.9523809523809524
2985332,1,4,6,3,1,6.0,7,1,2,23,4,0,6,6,1.0,1,9,5.454545454545454
2239378,4,8,3,3,7,3.0,9,3,3,57,4,0,12,21,0.75,28,6,0.4225352112676057
