OBJECTID,坡度,剖面曲率,平面曲率,岩性,TWI,降雨,NDVI,距河流距离,距断层距离,斜坡单元,斜坡结构,灾害类别
34247,2,7,4,1,2,1,6,5,5,0,0,0
3411371,2,6,6,3,3,6,8,2,1,20,4,0
2052382,8,4,6,3,4,5,9,1,2,58,4,0
2601601,7,6,5,3,5,5,8,2,2,48,4,0
2098943,5,5,7,3,8,4,7,1,3,58,4,0
1353126,6,6,6,2,5,3,8,5,2,85,4,0
705634,6,4,7,2,6,3,8,5,2,94,4,0
136545,2,5,6,1,7,2,9,1,5,107,4,0
3329181,2,5,6,3,4,7,4,2,2,23,4,0
508151,4,6,6,2,4,3,5,3,3,105,4,0
1582202,6,6,4,2,4,2,9,4,2,81,4,0
123316,3,5,6,1,2,3,5,3,5,107,4,0
2512900,3,5,6,3,6,3,8,3,3,11,4,0
2828277,1,5,6,3,4,7,8,5,2,31,4,0
3510294,4,5,5,3,6,7,9,1,2,119,1,0
1794837,4,6,5,3,3,2,7,1,2,75,1,0
1158582,5,6,5,4,5,3,5,2,2,90,1,0
2069254,8,6,4,3,3,5,9,1,3,71,4,0
2987924,2,5,6,3,4,4,9,1,1,13,1,0
2683250,5,6,6,3,5,6,9,1,2,45,5,0
2941707,7,5,6,3,2,4,6,1,3,28,4,0
2086969,7,5,6,3,6,6,8,1,2,59,4,0
3144160,5,6,6,3,3,4,8,2,1,41,4,0
3608544,3,5,4,3,8,7,8,1,3,25,4,0
754562,3,5,4,2,8,2,6,3,1,100,1,0
719187,3,7,4,2,2,2,7,4,1,100,1,0
1298058,7,5,6,2,6,1,8,2,3,2,5,0
2776859,6,6,6,3,2,3,7,2,1,29,4,0
2826514,2,5,6,3,6,7,7,3,1,29,4,0
2297533,3,5,4,3,5,8,8,1,4,70,4,0
683087,4,6,5,2,4,1,7,4,1,96,4,0
1401872,3,5,6,2,6,3,8,4,2,85,1,0
3406011,3,6,6,3,5,5,9,2,2,20,4,0
1525366,5,6,4,2,3,4,8,3,1,81,4,0
405971,3,5,6,2,2,1,8,1,5,97,4,0
2018287,6,8,4,3,3,6,7,2,3,58,4,0
2757434,8,4,6,3,8,5,9,4,2,30,5,0
2829286,1,4,6,3,6,3,9,1,1,34,1,0
2102510,7,6,4,3,3,5,7,1,2,58,4,0
2113838,6,7,5,3,6,4,7,4,2,58,4,0
1015227,6,4,6,4,4,1,7,2,1,113,4,0
1956360,8,7,5,3,7,6,9,2,4,72,4,0
590769,4,6,5,2,3,3,2,2,3,94,4,0
317436,7,5,6,2,2,1,8,4,5,107,4,0
2198303,3,4,7,3,6,3,9,3,3,58,4,0
3474836,2,5,6,3,5,8,9,5,2,20,4,0
1737505,7,7,4,3,2,2,8,4,1,75,4,0
2278350,5,4,7,3,4,4,7,5,1,51,4,0
607194,3,6,6,2,1,1,8,1,2,0,0,0
3444434,2,6,5,3,2,6,9,1,1,23,4,0
2347943,6,6,6,3,7,8,7,2,3,62,4,0
1723858,4,5,6,3,1,3,6,1,3,78,1,0
1335788,5,7,5,2,5,2,9,5,2,2,5,0
910854,7,5,6,4,3,3,7,3,2,91,1,0
3463045,7,6,5,3,2,8,9,5,2,20,4,0
2855097,6,4,7,3,5,6,9,4,1,29,4,0
70778,2,6,5,1,5,1,8,1,5,107,1,0
1609827,4,6,6,2,2,4,7,5,1,84,5,0
493422,3,6,5,2,3,3,8,5,3,105,4,0
2785937,6,6,6,3,4,4,7,5,1,29,4,0
912936,6,7,4,1,5,3,8,2,1,93,4,0
924630,7,4,6,4,3,2,8,2,2,91,1,0
1464497,7,6,5,2,6,4,6,2,2,1,4,0
1258267,1,7,6,2,4,1,9,5,1,85,1,0
1041763,2,7,7,6,4,2,2,2,1,113,5,0
184222,1,6,5,2,6,3,5,3,5,107,4,0
3564605,3,5,6,3,4,6,4,1,2,43,4,0
415473,2,6,6,2,8,2,8,4,4,107,4,0
1783612,4,6,5,3,5,1,7,1,2,8,1,0
2411246,7,5,5,3,4,8,8,1,3,0,0,0
3237660,2,5,6,3,1,6,8,3,3,21,4,0
1290074,6,6,4,4,2,1,8,3,3,2,5,0
2757541,2,5,6,3,4,6,7,4,1,47,1,0
793524,4,5,6,1,2,1,7,3,1,102,4,0
3321808,3,6,4,3,1,7,8,2,2,118,3,0
626730,4,5,5,2,2,1,8,3,2,96,4,0
2504945,5,5,6,3,5,5,8,3,2,12,4,0
1442466,3,4,6,2,7,2,6,4,2,1,4,0
2917615,5,6,6,3,4,3,9,1,1,19,4,0
760005,1,6,6,4,6,1,8,3,2,99,4,0
2586107,5,5,5,3,1,5,9,2,1,48,4,0
2099180,8,7,4,3,1,6,8,4,2,115,4,0
2741940,5,5,5,3,3,7,8,3,2,47,1,0
888416,6,6,6,4,3,3,8,2,1,92,4,0
405116,5,6,5,2,3,1,7,5,5,97,4,0
71324,6,7,4,1,7,2,9,1,5,107,1,0
2173701,6,6,6,3,6,4,9,4,1,58,4,0
1996898,8,5,5,3,6,6,9,3,3,72,4,0
1994047,7,7,4,3,4,6,9,2,1,71,4,0
2751054,8,7,4,3,6,5,9,4,2,47,1,0
3593494,2,6,5,3,3,7,7,1,2,43,4,0
1639525,6,6,5,2,2,2,4,5,1,109,1,0
3082018,3,5,6,3,5,4,9,1,1,23,4,0
229465,5,6,5,2,5,2,8,3,5,107,4,0
896484,4,6,7,6,5,2,7,2,1,91,1,0
2721976,6,5,5,3,6,4,7,3,1,45,5,0
1643817,4,5,4,3,5,2,9,2,2,81,4,0
2803866,3,5,5,3,5,4,7,1,1,29,4,0
1322139,6,6,6,2,3,1,9,2,3,86,5,0
3219730,2,3,7,3,2,6,9,1,3,41,4,0
1833689,6,6,5,3,1,2,7,4,3,73,1,0
1718510,6,5,6,3,1,2,2,1,3,108,1,0
2472732,5,5,6,3,8,7,5,2,3,10,5,0
850862,8,5,6,1,5,1,8,1,1,98,4,0
1314552,6,5,6,2,4,1,8,5,2,87,1,0
441789,8,5,6,2,5,3,5,5,4,105,4,0
3610078,9,3,8,3,4,6,8,1,4,120,5,0
3488134,2,6,5,3,5,8,8,4,2,20,4,0
2726980,6,6,6,3,3,6,8,3,3,31,4,0
1880049,3,6,5,3,1,3,8,1,3,72,1,0
764146,3,6,5,4,1,2,7,2,2,94,4,0
1866232,6,6,6,3,6,2,8,2,3,112,4,0
1827751,5,4,5,3,4,2,7,2,2,74,5,0
1473055,5,6,5,2,3,4,8,5,2,79,4,0
1114829,5,4,6,2,6,4,2,4,2,88,4,0
920104,7,7,4,1,5,2,8,2,1,93,4,0
3462658,7,4,7,3,3,8,8,2,3,20,4,0
2953779,1,5,7,3,3,3,9,1,2,23,4,0
1501005,5,8,2,2,4,3,8,1,1,5,4,0
2997818,6,6,6,3,3,5,8,2,1,28,4,0
3089639,2,5,6,3,2,4,8,1,1,117,0,0
3402544,1,6,5,3,1,7,9,1,1,26,4,0
1098134,1,6,4,6,5,1,9,2,2,86,4,0
559333,1,5,6,2,3,2,7,2,2,94,4,0
1558079,6,6,5,2,3,3,5,4,2,4,4,0
3294620,2,6,5,3,3,7,5,1,1,118,3,0
745270,5,5,5,2,3,1,7,3,1,100,1,0
1065535,2,6,5,6,8,1,2,4,1,90,1,0
3096014,3,5,6,3,1,6,7,2,2,117,0,0
3331597,2,6,6,3,1,6,9,1,2,20,4,0
2405127,4,6,6,3,5,5,9,1,2,0,0,0
2007452,8,5,6,3,4,6,9,1,3,71,4,0
575155,6,7,5,2,4,3,9,3,3,94,4,0
414336,2,6,6,2,4,1,7,5,4,105,4,0
2886655,7,4,4,3,1,3,7,1,1,28,4,0
1774426,2,4,5,3,1,3,9,3,2,111,4,0
1531472,5,5,7,2,5,4,9,5,2,3,4,0
3282260,4,6,6,3,4,6,5,4,2,38,4,0
109917,0,6,6,4,2,1,8,2,5,107,4,0
1302692,7,5,5,2,2,1,7,5,1,86,4,0
1592596,6,6,3,2,1,1,7,5,1,4,4,0
1737447,5,7,6,3,6,2,7,4,1,75,4,0
640046,3,6,5,2,1,1,5,3,2,96,4,0
720527,3,6,5,4,4,2,4,2,2,94,4,0
904624,4,6,5,1,2,3,9,2,1,93,4,0
744436,2,7,5,4,1,1,8,1,2,94,4,0
1418347,2,5,6,2,5,4,5,4,3,1,4,0
191880,4,7,5,2,2,2,8,5,5,107,4,0
3560212,4,6,3,3,3,8,9,2,4,43,4,0
2961787,7,7,5,3,3,3,8,1,3,34,1,0
838285,5,6,6,4,5,1,8,1,2,91,1,0
388611,5,8,5,2,1,1,5,4,4,107,4,0
1873832,4,6,5,3,7,2,8,3,3,110,4,0
377949,3,6,5,2,5,1,8,4,4,107,4,0
889794,7,5,6,1,4,3,9,1,1,93,4,0
274796,4,6,5,2,6,2,8,3,5,107,4,0
2468783,5,6,5,3,5,5,7,2,3,10,5,0
1147361,7,4,7,2,3,3,5,3,3,90,1,0
1070047,3,6,5,1,4,2,8,1,1,113,4,0
2074067,7,5,5,3,4,5,6,1,3,71,4,0
1467498,5,5,5,2,2,4,6,2,1,1,4,0
3110030,2,5,6,3,2,4,9,1,2,35,4,0
2680754,3,4,6,3,3,4,9,4,3,32,5,0
41722,3,6,4,1,4,1,8,4,5,107,1,0
1011653,4,7,4,5,5,4,8,5,1,90,1,0
2456495,4,7,5,3,7,8,9,3,4,10,5,0
2394489,7,7,4,3,5,8,9,0,3,61,4,0
1611217,6,6,5,2,4,4,7,5,1,84,5,0
589034,3,6,6,2,6,2,9,4,2,96,4,0
1931882,6,7,6,3,5,7,7,4,2,72,4,0
2287689,7,6,5,3,3,5,9,4,2,65,4,0
2063898,8,5,5,3,5,6,8,3,1,59,4,0
801764,4,5,5,4,5,1,5,3,1,98,4,0
404975,6,6,5,2,2,2,7,5,4,107,4,0
2105620,7,5,4,3,7,5,8,1,2,115,4,0
374736,5,5,7,2,3,1,7,3,5,107,4,0
3108247,2,6,5,3,2,4,7,1,1,13,3,0
616730,4,6,5,2,1,1,7,2,2,96,4,0
3358775,1,6,6,3,3,6,8,1,1,23,4,0
2197292,5,5,6,3,4,3,6,4,2,66,4,0
1283436,4,6,6,2,3,1,8,2,3,2,5,0
1657651,1,6,5,3,3,3,8,3,1,75,1,0
985218,6,7,4,6,5,2,9,2,1,113,4,0
1639607,3,5,7,2,2,2,5,3,1,80,1,0
1516986,6,5,7,2,2,3,8,3,1,5,4,0
1458671,6,7,4,2,2,2,8,2,2,1,4,0
3410597,6,5,6,3,2,6,6,2,3,23,4,0
2842542,5,5,6,3,2,3,8,4,2,19,4,0
818700,3,4,6,4,4,2,8,1,2,98,4,0
1028156,2,6,5,6,4,2,2,4,1,90,1,0
500533,5,6,4,2,5,1,7,5,3,105,4,0
1564788,2,5,7,2,4,3,8,4,1,80,1,0
1595105,5,6,3,2,2,3,7,5,1,81,4,0
